,GBCJ,GBCN,JZB,JZJ,JZZ,LYT1,LYT2
S09,29265.48,6423.81,3793.2999999999997,15340.130000000001,536.36,5892.15,29765.440000000002
M01,14919.15,10713.39,17036.559999999998,19040.38,528.52,0.0,2777.19
M29,3.0,669.5,24.0,5.0,3.0,0.0,438.0
M18,229.79,824.1,629.11,70.6,122.01,0.0,536.0
M04,170.4,3199.27,442.62,21338.1,193.67,568.75,102.75
3.4.11.11,64.0,0.0,0.0,0.0,0.0,0.0,0.0
3.4.19.5,28.34,223.2,806.2,9985.45,130.42,0.0,38.83
C01,43.0,6361.17,18860.22,269.0,11.17,645.12,67.61
M14,6751.33,960.67,27.33,3838.0,2.0,0.0,84.33
M32,2628.62,4525.99,2052.98,11498.02,6889.59,0.0,29623.86
S41,2997.96,10399.34,10282.67,12786.2,13636.45,0.0,31142.33
S51,108.39,3351.16,5171.75,30.33,732.0,0.0,467.33
3.4.13.22,7876.65,4653.55,8021.74,3817.05,111.83,0.0,536.11
3.4.11.19,2756.07,334.85,0.0,0.0,0.0,0.0,0.0
3.4.21.92,40122.89,23417.34,19011.92,54493.92,7885.71,17505.68,33566.61
S16,10761.74,3943.71,1639.25,15312.3,7113.86,13300.19,30668.83
M13,79.0,59.0,213.33,22.0,135.0,1500.5,4.5
3.4.19.11,2529.65,1583.43,129.77,99.8,13160.17,0.0,29279.0
M20,339.07,452.05,952.55,95.22,234.09,0.0,58.25
M28,2.0,25.0,16.0,4.0,10.75,0.0,434.0
M42,42.25,4159.17,1995.97,1389.0,27.83,0.0,35.86
S01,5574.93,11297.5,17456.14,33055.2,14294.96,111.75,59851.19
3.4.19.13,32133.32,9355.88,3034.41,27978.89,7994.71,0.0,31271.83
3.4.24.78,2614.84,1273.87,83.97,11427.4,6681.67,5691.47,30114.0
3.4.25.2,2797.38,6032.45,14533.32,12714.87,6885.09,7769.23,30067.08
S08,227.2,2143.45,91.8,33829.4,7173.0,5394.8,15890.5
M17,31797.71,9111.77,1784.08,27835.02,7246.77,0.0,2289.66
M23,1.0,1758.5,53.25,1054.5,21.5,7.75,33.75
M19,17391.9,2017.63,1303.31,19121.6,428.02,0.0,30708.75
M24,86635.65,48637.14,50896.64,99491.29999999999,28187.809999999998,0.0,139251.01
M09,1.0,136.0,7.0,0.0,106.0,546.0,4.0
3.4.17.13,17265.6,4663.48,1061.28,19047.95,6809.34,0.0,30246.08
M03,214.07,2991.99,1363.1299999999999,59.0,373.09999999999997,1473.51,11.41
M02,63.0,17.75,4.33,1147.25,34.34,0.0,763.25
3.4.24.20,4.0,0.0,0.0,0.0,3.0,19.0,0.0
M16,3.0,97.95,403.62,1.45,37.25,15.83,2.58
A24,24256.64,13291.5,15783.42,33230.92,7136.61,11690.04,30177.41
S33,8119.68,10972.79,23239.73,3931.93,424.42,0.0,13531.28
3.4.25.1,29064.66,2213.34,522.66,15272.0,259.5,2929.66,1211.0
C15,2541.86,5834.86,4578.91,1296.17,274.01,0.0,13985.75
S24,24176.85,16385.62,17094.94,24218.45,7121.18,11219.39,30907.19
S54,2618.37,9463.73,15293.1,12670.9,6691.5,0.0,30120.36
3.4.16.4,74490.16,45324.12,35635.65,91542.32,41907.96,0.0,211508.29
M10,150.4,64.1,383.2,31.6,10.0,229.0,1.0
S26,30655.74,24465.09,24345.91,89734.02,20848.79,24975.69,93124.19
A08,17468.27,12997.11,15943.72,20561.87,7241.19,13785.08,30829.08
M07,6750.33,912.84,32.33,3841.0,11.0,33.33,515.0
C60,5265.18,16560.27,19828.54,13519.55,14583.67,13319.87,31763.08
S55,2615.84,1273.87,83.97,11427.4,6681.67,5694.47,30114.0
M48,19.67,41.17,50.58,8.0,28.75,494.0,1.0
M9A,5205.12,14067.36,21151.96,24089.87,13412.17,0.0,59471.94
S15,14501.33,7581.84,15485.05,7805.83,55.58,0.0,234.11
M15,7707.0,200.16,27.0,3768.0,1.0,0.0,89.0
3.4.11.10,0.0,126.17,0.0,0.0,0.0,0.0,0.0
M49,0.0,1.0,0.0,1.0,0.0,0.0,0.0
A31,0.0,18.95,48.62,0.45,2.25,5.83,0.58
3.4.19.14,0.0,1.33,4.0,0.0,0.0,0.0,0.0
A26,0.0,11.62,28.62,0.12,0.25,1.5,0.25
3.4.11.12,0.0,0.0,5.17,0.0,0.0,0.0,0.0
3.4.11.20,0.0,0.0,795.05,0.0,0.0,0.0,0.0
3.4.11.13,0.0,0.0,0.0,11122.0,0.0,0.0,0.0
3.4.11.21,0.0,0.0,0.0,11172.6,0.0,0.0,0.0
3.4.11.14,0.0,0.0,0.0,0.0,161.17,0.0,0.0
3.4.11.22,0.0,0.0,0.0,0.0,79.5,0.0,0.0
3.4.21.72,0.0,0.0,0.0,0.0,0.0,3.0,0.0
3.4.11.15,0.0,0.0,0.0,0.0,0.0,0.0,797.0
3.4.11.23,0.0,0.0,0.0,0.0,0.0,0.0,29368.5
